NP,VPD,NP_area_1000_ha,visit_rate_1000_per_yr,frog_spp_richness,plant_spp_richness
NP_A,1.113041916,4.095839491,8.336,18,179
NP_B,0.742358785,8.407718439,2.38,21,309
NP_C,1.693765628,4.351857713,13.005,5,171
NP_D,1.725442182,1.457568939,10.104,9,81
NP_E,2.201324825,9.738387963,2.052,19,233
NP_F,1.358681859,5.220828124,8.463,8,141
NP_G,1.059357662,9.534909667,8.274,19,279
NP_H,1.480390804,4.569256117,14.887,8,157
NP_I,2.608888058,5.796658909,0.577,12,198
NP_J,2.229998318,9.620160064,0.988,25,274
NP_K,1.017290246,8.842807662,8.463,12,301
NP_L,2.227444424,9.240760748,8.147,23,163
NP_M,1.847131396,5.860695008,2.514,15,172
NP_N,0.901756143,0.471745712,8.513,7,132
NP_O,1.329286106,9.218438858,3.984,16,165
