Name,Area,Population
Honshu,"225,800","104,000,000"
Kyushu,"36,782","12,970,479"
Hokkaido,"83,423","5,348,102"
Shikoku,"18,297","3,796,687"
Okinawa,"1,206","1,301,462"
Awaji,592,"157,000"
Shimoshima,574,"87,191"
Amami Oshima,712,"73,000"
Miyako-jima,158,"55,914"
Sado,854,"55,474"
Ishigaki,222,"47,000"
Tsushima,709,"39,716"
Fukue,326,"38,481"
Kamishima,225,"34,412"
Tanegashima,444,"33,000"
Hikoshima,11,"30,182"
Shodoshima,153,"28,764"
Iki,134,"28,008"
Mukaishima,23,"28,000"
Innoshima,35,"27,465"
Tokunoshima,247,"27,000"
Etajima,91,"24,596"
"Omishima, Ehime",65,"23,398"
Hirado,163,"21,355"
Nakadori,168,"20,167"
Suo-Oshima,128,"19,739"
Kurahashi-jima,69,"19,565"
Okinoerabujima,93,"15,000"
Dogojima,242,"14,849"
Oyano-jima,30,"14,729"
Yakushima,504,"13,178"
"Nagashima, Kagoshima",91,"10,120"
Kume Island,59,"10,000"
Hario,33,"9,767"
Ikuchi-jima,31,"9,310"
Hachijo-jima,63,"8,363"
Izu Oshima,91,"8,179"
Kunashiri ,"1,490","7,800"
Hakata,21,"7,683"
Kikaijima,57,"7,657"
Etorofu ,"3,174","7,500"
Ikitsuki,17,"7,014"
Irabu-jima,29,"6,283"
Yoronjima,21,"6,000"
Osakishimo-jima,18,"6,000"
Oshima,12,"5,725"
Rishiri,183,"5,102"
Ie-jima,23,"4,198"
Goshoura,13,"3,615"
Nishinoshima,56,"3,400"
Okushiri,142,"3,343"
Fukushima,17,"3,202"
Rebun,80,"3,194"
Notojima,47,"3,187"
Osakikamijima,38,"3,187"
"Naka-jima, Ehime",21,"2,938"
Kamikoshiki-jima,45,"2,796"
Shimokoshiki-jima,66,"2,780"
Naru Island,24,"2,776"
Nii-jima,23,"2,700"
Kamikamagari-jima,19,"2,658"
Uku-jima,25,"2,575"
Takashima,16,"2,487"
Ojika,12,"2,433"
Miyake-jima,55,"2,415"
Nakanoshima,32,"2,400"
Iriomote,289,"2,347"
Minamidaitojima,31,"2,107"
Shikotan ,247,"2,100"
Chichijima,23,"2,000"
"Nagashima, Yamaguchi",14,"2,000"
