Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Myrmicinae,Vollenhovia,nipponica,Land + Island,Native,Kyushu,-,Kyushu,Temperate Northern Pacific,32.59,130.8
Formicinae,Polyrhachis,lamellidens,Land + Island,Native,Kyushu,-,Kyushu,Temperate Northern Pacific,32.59,130.8
Myrmicinae,Erromyrma,latinodis,Land + Island,Native,Yonaguni-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.455253,122.988732
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Haha-jima,Haha-jima Group,Ogasawara Islands,Central Indo-Pacific,26.667203,142.157199
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Ioujima,-,Volcano Islands,Central Indo-Pacific,24.782506,141.317206
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Yakushima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.339135,130.522252
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Kuchino-shima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.972314,129.922578
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Takara-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.146641,129.207673
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Amami-Oshima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.311807,129.426562
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Tokuno-shima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.773461,128.948928
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Okinawa,-,Okinawa Islands,Temperate Northern Pacific,26.517553,127.96582
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Sesoko,-,Okinawa Islands,Temperate Northern Pacific,26.643909,127.864001
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Kudaka,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.161523,127.894221
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Miyako-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.774041,125.332376
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Ishigaki,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.433381,124.205545
Myrmicinae,Monomorium,pharaonis,Land + Island,Exotic,Iriomote,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.335813,123.814688
