location,subplot,Cryptocarya obovata,Anthocarapa nitidula,Diploglottis australis,Guioa semiglauca,Ficus obliqua,Argyrodendron trifoliolatum,Neolitsea australiensis,Sarcomelicope simplicifolia,Cryptocarya erythroxylon,Araucaria bidwillii,Polyscias elegans,Elattostachys xylocarpa,Citronella moorei,Symplocos thwaitesii,Pittosporum undulatum,Streblus brunonianus,Olea paniculata,Ehretia acuminata,Syzygium smithii,Diospyros pentamera,Syzygium australe,Melicope micrococca,Cryptocarya triplinervis,Baloghia inophylla,Elaeocarpus kirtonii,Litsea reticulata,Claoxylon australe,Capparis arborea,Zanthoxylum brachyacanthum,Brachychiton discolor,Dendrocnide excelsa,Vitex lignum-vitae,Alyxia ruscifolia,Backhousia angustifolia,Psydrax odorata,Notelaea microcarpa,Dendrocnide photinophila,Alectryon subdentatus,Flindersia collina,Araucaria cunninghamii,Pittosporum viscidum,Croton insularis,Acalypha capillipes,Geijera salicifolia,Maytenus bilocularis,Diospyros geminata,Excoecaria dallachyana,Croton acronychioides,Strychnos psilosperma,Planchonella myrsinifolia,Turraea pubescens,Alstonia constricta,Actephila lindleyi,Carissa ovata,Psydrax lamprophylla,Planchonella cotinifolia,Brachychiton rupestris,Alectryon diversifolius,Capparis mitchellii,Ehretia membranifolia,Erythroxylum sp. Splityard Creek,Santalum lanceolatum,Casuarina cristata,Breynia oblongifolia,Bursaria spinosa,Maytenus disperma,Bridelia leichhardtii,Everistia vacciniifolia,Scolopia braunii,Harpullia hillii,Gossia bidwillii,Casearia multinervosa,Elaeocarpus obovatus,Dinosperma erythrococcum,Hymenosporum flavum,Acronychia laevis,Cupaniopsis parvifolia,Triflorensia cameronii,Drypetes deplanchei,Rhodosphaera rhodanthema,Euroschinus falcatus,"NA",Myrsine variabilis,Diospyros australis,Cryptocarya floydii,Psychotria daphnoides,Rhodamnia dumicola,Auranticarpa rhombifolia,Alchornea ilicifolia
high,1,4,1,5,9,1,10,3,1,2,1,1,3,3,1,2,2,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,2,10,0,5,9,0,10,2,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,3,14,3,5,0,0,13,3,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,4,3,0,4,4,0,14,2,0,0,1,0,6,2,1,1,5,0,0,0,1,0,1,1,0,2,0,2,8,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_east,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,29,24,14,4,8,7,4,14,7,7,1,2,1,12,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_east,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,32,6,6,7,5,7,1,0,5,4,0,0,2,7,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_east,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,27,12,9,3,7,8,5,3,2,2,7,0,2,0,0,0,0,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_east,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,4,2,1,3,7,7,4,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,0,6,0,0,6,0,4,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low_west,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,14,0,0,3,0,4,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
