species,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh
Acacia melanoxylon,2.276138629039083,6.8975887747651905,0.40621398699156464,-2.0539575,0.6832210337484912,-1.453676639449306,5.477225575051661
Acalypha capillipes,3.153224229058743,4.385551664449744,0.3500074014846708,-1.794555,0.7162051518087427,NA,2
Syzygium smithii,2.1219104971690124,5.9798078080430965,0.47374167470324646,NA,0.5936414782361952,-1.650324347422806,4.47213595499958
Acronychia laevis,2.199731579597829,7.05618605990442,0.3694318359928258,NA,0.7468995748469485,-2.0179336523865135,3.872983346207417
Actephila lindleyi,2.2419431951884152,7.933339108766196,0.46004063156836306,NA,0.7212963557056633,-1.2913184166970673,3.4641016151377544
Alectryon diversifolius,1.8287027435542569,5.065691499844334,0.6169297659743619,NA,0.8225483510167133,-1.309091263601606,2
Alectryon subdentatus,2.1205613958649434,6.580688815591063,0.6737557206978936,NA,0.850316961083398,NA,3.3166247903554
Alstonia constricta,3.054058069779454,7.294653670741452,0.3123008340117145,NA,0.5767672294812337,-1.9991084467292166,4.242640687119285
Alyxia ruscifolia,1.973801970685092,4.196769523352824,0.5831304996066026,-2.438505,0.8035175416289823,-1.0842838320521928,2.23606797749979
Anthocarapa nitidula,2.325223266202946,7.507116622693619,0.3630420092135332,NA,0.6946974580985681,-1.899337466086121,5.196152422706632
Araucaria bidwillii,1.8687769352882264,5.776626255199194,0.43230026363574575,NA,0.5351861295257522,NA,6.708203932499369
Araucaria cunninghamii,1.9548059859013946,3.4034448542026348,0.5296760531135531,NA,0.565291493158834,NA,7.0710678118654755
Argyrodendron trifoliolatum,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369
Gossia bidwillii,2.3098315586900955,6.6656399270146895,0.4549591995078722,NA,0.8306920397308428,-1.155182404943464,3.872983346207417
Backhousia angustifolia,2.2376995307863927,4.985646491812714,0.4474039781271016,-2.1633075,0.8462096842016696,-0.9658837302904656,3.872983346207417
Baloghia inophylla,2.1733210041680606,7.709243027305514,0.3698453540751572,-1.7246925,0.6885435711914779,-1.7678668600950815,4.898979485566356
Brachychiton discolor,3.0816797338934787,9.020207788385466,0.3331684709747566,-1.76337,0.3686018002702218,-2.2674595456593365,5.916079783099616
Brachychiton rupestris,2.1760068014938483,6.72422073681879,0.4743591013741664,-2.20887,0.5659801678108315,-2.2644269829431947,5
Bursaria spinosa,2.4787363183011526,4.535491811740658,0.6064682520603444,NA,0.7873829448649742,-1.008373353527618,3.1622776601683795
Psydrax odorata,2.121957832990753,6.224872736311371,0.3903398780566088,-2.30742,0.8295169982646611,-0.880577148093463,3.4641016151377544
Psydrax lamprophylla,1.948511830560339,8.481444503800375,0.4654605394740554,-2.35953,0.8943577619529718,-1.3694563674690223,4.47213595499958
Capparis arborea,2.0574586150698186,7.071438592821278,0.43972353225500277,-2.56273875,0.615865072085058,-1.2217854862362192,3.1622776601683795
Casearia multinervosa,2.3597241102790245,7.255643797591804,0.3961577703710756,NA,0.8438845646916865,NA,3.1622776601683795
Pittosporum viscidum,2.4860873449452305,4.01565415158818,0.48724441311612365,NA,0.7551314277770648,NA,2.23606797749979
Citronella moorei,2.6366861290522423,8.12558642387461,0.3474095060011222,-1.86867,0.5622281020079611,-1.87882412760305,7.0710678118654755
Claoxylon australe,2.7848331274112232,7.469431086476649,0.3171881246355405,NA,0.6028055275276016,-1.7697128525420094,3
Croton acronychioides,2.3564855430234726,7.697461291274201,0.37207525289115156,NA,0.7173757728743221,-1.2472194313898146,3.872983346207417
Croton insularis,2.1214822157290776,6.58385345265774,0.5146544138001596,-1.9604025,0.8024641725585142,-1.373855101857429,3.872983346207417
