Tropical antechinus, Antechinus adustus
Agile antechinus, Antechinus agilis
Fawn antechinus, Antechinus bellus
Yellow-footed antechinus, Antechinus flavipes
Atherton antechinus, Antechinus godmani
Cinnamon antechinus, Antechinus leo
Swamp antechinus, Antechinus minimus
Brown antechinus, Antechinus stuartii
Subtropical antechinus, Antechinus subtropicus
Dusky antechinus, Antechinus swainsonii
Brush-tailed mulgara, Dasycercus blythi
Crest-tailed mulgara, Dasycercus cristicauda
Kaluta, Dasykaluta rosamondae
Kowari, Dasyuroides byrnei
Western quoll, Dasyurus geoffroii
Northern quoll, Dasyurus hallucatus
Tiger quoll, Dasyurus maculatus
Eastern quoll, Dasyurus viverrinus
Wongai ningaui, Ningaui ridei
Pilbara ningaui, Ningaui timealeyi
Mallee ningaui, Ningaui yvonneae
Dibbler, Parantechinus apicalis
Red-tailed phascogale, Phascogale calura
Brush-tailed phascogale, Phascogale tapoatafa
Brush-tailed phascogale, Phascogale pirata
Kultarr, Antechinomys laniger
Paucident planigale, Planigale gilesi
Long-tailed planigale, Planigale ingrami
Common planigale, Planigale maculata
Narrow-nosed planigale, Planigale tenuirostris
Sandstone false antechinus, Pseudantechinus bilarni
Fat-tailed false antechinus, Pseudantechinus macdonnellensis
Alexandria false antechinus, Pseudantechinus mimulus
Ningbing false antechinus, Pseudantechinus ningbing
Rory Cooper's false antechinus, Pseudantechinus roryi
Woolley's false antechinus, Pseudantechinus woolleyae
Tasmanian devil, Sarcophilus harrisii
Fat-tailed dunnart, Sminthopsis crassicaudata
Kakadu dunnart, Sminthopsis bindi
Carpentarian dunnart, Sminthopsis butleri
Julia Creek dunnart, Sminthopsis douglasi
Stripe-faced dunnart, Sminthopsis macroura
Red-cheeked dunnart, Sminthopsis virginiae
White-tailed dunnart, Sminthopsis granulipes
Kangaroo Island dunnart, Sminthopsis aitkeni
Grey-bellied dunnart, Sminthopsis griseoventer
Boullanger Island dunnart, Sminthopsis boullangerensis
Long-tailed dunnart, Sminthopsis longicaudata
Chestnut dunnart, Sminthopsis archeri
Little long-tailed dunnart, Sminthopsis dolichura
Sooty dunnart, Sminthopsis fuliginosus
Gilbert's dunnart, Sminthopsis gilberti
White-footed dunnart, Sminthopsis leucopus
Slender-tailed dunnart, Sminthopsis murina
Hairy-footed dunnart, Sminthopsis hirtipes
Ooldea dunnart, Sminthopsis ooldea
Sandhill dunnart, Sminthopsis psammophila
Lesser hairy-footed dunnart, Sminthopsis youngsoni
Numbat, Myrmecobius fasciatus
Pig-footed bandicoot, Chaeropus ecaudatus
Rufous spiny bandicoot, Echymipera rufescens
Golden bandicoot, Isoodon auratus
Northern brown bandicoot, Isoodon macrourus
Southern brown bandicoot, Isoodon obesulus
Western barred bandicoot, Perameles bougainville
Desert bandicoot, Perameles eremiana
Eastern barred bandicoot, Perameles gunnii
Long-nosed bandicoot, Perameles nasuta
Bilby, Macrotis lagotis
Lesser bilby, Macrotis leucura
Northern marsupial mole, Notoryctes caurinus
Southern marsupial mole, Notoryctes typhlops
Northern hairy-nosed wombat, Lasiorhinus krefftii
Southern hairy-nosed wombat, Lasiorhinus latifrons
Common wombat, Vombatus ursinus
Koala, Phascolarctos cinereus
Southern common cuscus, Phalanger mimicus
Common spotted cuscus, Spilocuscus maculatus
Northern brushtail possum, Trichosurus arnhemensis
Short-eared possum, Trichosurus caninus
Mountain brushtail possum, Trichosurus cunninghami
Common brushtail possum, Trichosuruslpecula
Coppery brushtail possum, Trichosurus johnstonii
Scaly-tailed possum, Wyulda squamicaudata
Mountain pygmy possum, Burramys parvus
Long-tailed pygmy possum, Cercartetus caudatus
Southwestern pygmy possum, Cercartetus concinnus
Tasmanian pygmy possum, Cercartetus lepidus
Eastern pygmy possum, Cercartetus nanus
Honey possum, Tarsipes rostratus
Striped possum, Dactylopsila trivirgata
Leadbeater's possum, Gymnobelideus leadbeateri
Yellow-bellied glider, Petaurus australis
Sugar glider, Petaurus breviceps
Mahogany glider, Petaurus gracilis
Squirrel glider, Petaurus norfolcensis
Lemuroid ringtail possum, Hemibelideus lemuroides
Greater glider, Petauroides volans
Rock ringtail possum, Petropseudes dahli
Common ringtail possum, Pseudocheirus peregrinus
Western ringtail possum, Pseudocheirus occidentalis
Green ringtail possum, Pseudochirops archeri
Daintree River ringtail possum, Pseudochirulus cinereus
Herbert River ringtail possum, Pseudochirulus herbertensis
Feathertail glider, Acrobates pygmaeus
Musky rat-kangaroo, Hypsiprymnodon moschatus
Rufous bettong, Aepyprymnus rufescens
Southern bettong, Bettongia gaimardi
Burrowing bettong, Bettongia lesueur
Woylie, Bettongia penicillata
Northern bettong, Bettongia tropica
Nullarbor dwarf bettong, Bettongia pusilla
Desert rat-kangaroo, Caloprymnus campestris
Gilbert's potoroo, Potorous gilbertii
Long-footed potoroo, Potorous longipes
Broad-faced potoroo, Potorous platyops
Long-nosed potoroo, Potorous tridactylus
Bennett's tree-kangaroo, Dendrolagus bennettianus
Lumholtz's tree-kangaroo, Dendrolagus lumholtzi
Central hare-wallaby, Lagorchestes asomatus
Spectacled hare-wallaby, Lagorchestes conspicillatus
Mala, Lagorchestes hirsutus
Eastern hare-wallaby, Lagorchestes leporides
Banded hare-wallaby, Lagostrophus fasciatus
Agile wallaby, Macropus agilis
Antilopine kangaroo, Macropus antilopinus
Black wallaroo, Macropus bernardus
Black-striped wallaby, Macropus dorsalis
Tammar wallaby, Macropus eugenii
Western grey kangaroo, Macropus fuliginosus
Eastern grey kangaroo, Macropus giganteus
Toolache wallaby, Macropus greyi
Western brush wallaby, Macropus irma
Parma wallaby, Macropus parma
Whiptail wallaby, Macropus parryi
Wallaroo or Euro, Macropus robustus
Red-necked wallaby, Macropus rufogriseus
Red kangaroo, Macropus rufus
Bridled nail-tail wallaby, Onychogalea fraenata
Crescent nail-tail wallaby, Onychogalea lunata
Northern nail-tail wallaby, Onychogalea unguifera
Allied rock-wallaby, Petrogale assimilis
Short-eared rock-wallaby, Petrogale brachyotis
Monjon, Petrogale burbidgei
Cape York rock-wallaby, Petrogale coenensis
Nabarlek, Petrogale concinna
Godman's rock-wallaby, Petrogale godmani
Herbert's rock-wallaby, Petrogale herberti
Unadorned rock-wallaby, Petrogale inornata
Black-flanked rock-wallaby, Petrogale lateralis
Purple-necked rock-wallaby, Petrogale purpureicollis
Mareeba rock-wallaby, Petrogale mareeba
Brush-tailed rock-wallaby, Petrogale penicillata
Proserpine rock-wallaby, Petrogale persephone
Rothschild's rock-wallaby, Petrogale rothschildi
Sharman's rock-wallaby, Petrogale sharmani
Yellow-footed rock-wallaby, Petrogale xanthopus
Quokka, Setonix brachyurus
Tasmanian pademelon, Thylogale billardierii
Red-legged pademelon, Thylogale stigmatica
Red-necked pademelon, Thylogale thetis
Swamp wallaby, Wallabia bicolor
