plot,shade_tree_cover,shade_tree_density_ha,diameter_at_breastheight,yield,aboveground_carbon,losses_to_disease,nitrogen,phosphorous,max_temperature,bird_sp_richness,soil_moisture
A,52.12434611,66.66,34,-6.594116876,245.5660552,6.381053532,29.47761194,11.17967924,-2.773145155,114.2857143,6.976744186
B,15.00960989,22.22,52.65,7.294235212,74.24480222,72.84424275,-1.760921097,-41.24945931,0.972529198,,-24.74074074
C,72.421,44.44,56.725,-54.65949407,664.0216222,19.37046005,27.23486062,94.47724088,-3.032720529,,-11.01321586
D,25.08321533,33.33,33.633,-0.544798061,74.2928461,40.68468459,-11.93533048,-22.30502285,-1.662147101,,-22.38586156
G,14.03333333,22.22,34.5,28.43332423,44.34417986,25.71214959,20.97069597,65.7780738,1.707433803,233.3333333,24.51051487
H,48.68430367,44.44,41.66,11.87490761,171.064257,-41.64795879,31.54465312,75.35567432,-5.976554474,,53.32409972
J,31.603834,33.33,67.5,4.57355622,351.6247574,0.973644172,17.06443914,-25.03048181,-2.781599051,333.3333333,-30.54905263
K,47.879812,77.78,43.625,-7.91769491,311.588705,-64.39289402,-19.60142772,-56.74815391,-0.217217628,,-36.34817277
L,38.06115422,33.33,59.2,-22.84701396,366.2520566,27.21346998,27.12632109,35.60120009,-1.832634878,,-10.25531273
M,23.36253311,22.22,53.4,-32.81416549,170.2273638,18.48312385,-14.6875,-10.05169861,2.051310557,,-18.25831011
N,26.10146933,33.33,44.767,31.05764813,212.4398624,-50.55783928,-9.219380888,-22.5141225,-2.30585825,400,3.285988349
O,36.15030144,66.66,46.75,-14.44122517,518.2980827,-53.0259297,40.78379276,21.21325833,-3.486136479,,-4.838440211
P,63.42452989,177.8,31.225,12.77974284,308.4771036,-42.92571273,-14.65103889,-20.70693033,-3.504840128,,-25.37028633
Q,24.64654089,44.44,32.45,-32.75357638,120.1136236,82.30303262,1.153846154,56.26445652,1.213709606,75,-5.302406814
R,44.652,66.66,44.942,-27.1864299,514.4182905,-36.93516612,-21.6713881,-22.34001645,-1.577530189,550,-3.824158025
S,69.58804911,55.55,58.18,-67.21387047,590.7631674,49.24608323,-48.23881648,-57.9646053,-2.669563143,450,-36.32042242
T,31.77093978,77.77,25.671,-9.934182178,107.2982061,0.674341544,-18.21873308,-11.84021079,-2.876761252,160,-23.08112019
U,76.16581178,144.43,27.817,-80.31604841,313.0319825,12.53215018,0.902147719,-9.536802933,-0.785738133,950,-74.11000437
W,23.99522222,11.11,55.5,-5.807228863,38.16056037,55.96386624,-5.647438483,-7.93538725,-1.117356632,200,13.25113726
X,68.37274667,111.1,35.15,-51.98256523,367.9180607,-3.953916135,-29.21100917,-67.89111866,-4.875449882,,-55.61381734
